FID,SHAPE,NAME,BEZEICHNUNG,SE_SDO_ROWID,SE_ANNO_CAD_DATA
UNIVERSITAETOGD.1546115,POINT (16.381046247628806 48.196545235549856),Universität für Musik und darstellende Kunst Wien,Salesianerkloster,1546115,
UNIVERSITAETOGD.1546116,POINT (16.313139822747342 48.186579697715565),Universität für Musik und darstellende Kunst Wien,Schlosstheater Schönbrunn,1546116,
UNIVERSITAETOGD.1546117,POINT (16.36510157101912 48.19365287887959),Universität für Musik und darstellende Kunst Wien,Gebäude,1546117,
UNIVERSITAETOGD.1546118,POINT (16.374890464529464 48.20661507466812),Universität für Musik und darstellende Kunst Wien,Gebäude,1546118,
UNIVERSITAETOGD.1546119,POINT (16.374535970950056 48.201969935918),Universität für Musik und darstellende Kunst Wien,Gebäude,1546119,
UNIVERSITAETOGD.1546120,POINT (16.369511577725973 48.20104520969109),Universität für Musik und darstellende Kunst Wien,Gebäude,1546120,
UNIVERSITAETOGD.1546121,POINT (16.369894351862918 48.20091778108139),Universität für Musik und darstellende Kunst Wien,Gebäude,1546121,
UNIVERSITAETOGD.1546122,POINT (16.3867936443936 48.20299967447522),Universität für Musik und darstellende Kunst Wien,Gebäude,1546122,
UNIVERSITAETOGD.1546123,POINT (16.38293943118496 48.20838710235376),Universität für angewandte Kunst,Hauptgebäude,1546123,
UNIVERSITAETOGD.1546124,POINT (16.371140680507047 48.21346148881683),Universität für angewandte Kunst,Expositur Salzgries,1546124,
UNIVERSITAETOGD.1546125,POINT (16.379099728028162 48.20909344438523),Universität für angewandte Kunst,Expositur Postgasse,1546125,
UNIVERSITAETOGD.1546126,POINT (16.381399051839946 48.211149749047884),Universität für angewandte Kunst,Expositur Franz-Josefs-Kai,1546126,
UNIVERSITAETOGD.1546127,POINT (16.38414150251603 48.20729449229886),Universität für angewandte Kunst,Expositur Henslerstrasse,1546127,
UNIVERSITAETOGD.1546128,POINT (16.37196852093141 48.21217577645429),Universität für angewandte Kunst,Expositur Sterngasse,1546128,
UNIVERSITAETOGD.1546129,POINT (16.39817482684221 48.21129085318555),Universität für angewandte Kunst,Expositur Rustenschacher Allee,1546129,
